time,temperature_2m,relative_humidity_2m,windspeed_10m,precipitation
2026-05-20 00:00:00,32.4,24,9.9,0.0
2026-05-20 01:00:00,32.2,26,9.4,0.0
2026-05-20 02:00:00,33.5,26,9.4,0.0
2026-05-20 03:00:00,35.5,25,10.2,0.0
2026-05-20 04:00:00,37.8,24,10.6,0.0
2026-05-20 05:00:00,40.0,22,11.6,0.0
2026-05-20 06:00:00,41.7,18,10.3,0.0
2026-05-20 07:00:00,42.8,16,10.1,0.0
2026-05-20 08:00:00,43.1,15,12.7,0.0
2026-05-20 09:00:00,43.0,15,10.9,0.0
2026-05-20 10:00:00,43.0,15,9.9,0.0
2026-05-20 11:00:00,42.8,15,10.2,0.0
2026-05-20 12:00:00,42.2,15,9.7,0.0
2026-05-20 13:00:00,41.2,16,8.6,0.0
2026-05-20 14:00:00,39.8,17,4.9,0.0
2026-05-20 15:00:00,39.0,19,4.6,0.0
2026-05-20 16:00:00,38.2,21,6.2,0.0
2026-05-20 17:00:00,36.7,23,7.4,0.0
2026-05-20 18:00:00,35.0,25,9.3,0.0
2026-05-20 19:00:00,34.2,26,11.9,0.0
2026-05-20 20:00:00,33.5,26,13.1,0.0
2026-05-20 21:00:00,33.0,27,13.5,0.0
2026-05-20 22:00:00,32.5,29,13.2,0.0
2026-05-20 23:00:00,32.2,31,12.9,0.0
2026-05-21 00:00:00,31.8,32,12.3,0.0
2026-05-21 01:00:00,32.0,33,11.3,0.0
2026-05-21 02:00:00,33.2,32,10.7,0.0
2026-05-21 03:00:00,35.3,28,13.9,0.0
2026-05-21 04:00:00,37.3,25,15.9,0.0
2026-05-21 05:00:00,39.4,22,15.1,0.0
2026-05-21 06:00:00,41.1,20,14.5,0.0
2026-05-21 07:00:00,42.3,18,13.9,0.0
2026-05-21 08:00:00,43.0,17,13.3,0.0
2026-05-21 09:00:00,43.2,16,13.1,0.0
2026-05-21 10:00:00,43.1,15,13.0,0.0
2026-05-21 11:00:00,42.6,15,13.7,0.0
2026-05-21 12:00:00,41.9,15,13.8,0.0
2026-05-21 13:00:00,41.1,15,11.9,0.0
2026-05-21 14:00:00,39.6,18,5.2,0.0
2026-05-21 15:00:00,38.0,21,3.6,0.0
2026-05-21 16:00:00,37.1,22,5.0,0.0
2026-05-21 17:00:00,36.3,22,7.6,0.0
2026-05-21 18:00:00,35.5,21,10.9,0.0
2026-05-21 19:00:00,34.8,23,9.3,0.0
2026-05-21 20:00:00,33.7,25,8.7,0.0
2026-05-21 21:00:00,32.8,25,11.4,0.0
2026-05-21 22:00:00,32.2,25,12.1,0.0
2026-05-21 23:00:00,31.3,25,9.9,0.0
2026-05-22 00:00:00,30.6,25,9.8,0.0
2026-05-22 01:00:00,31.0,24,10.8,0.0
2026-05-22 02:00:00,32.5,23,10.0,0.0
2026-05-22 03:00:00,35.0,21,11.5,0.0
2026-05-22 04:00:00,37.2,20,12.6,0.0
2026-05-22 05:00:00,39.1,18,12.5,0.0
2026-05-22 06:00:00,40.7,16,12.6,0.0
2026-05-22 07:00:00,41.8,14,13.0,0.0
2026-05-22 08:00:00,42.5,12,13.4,0.0
2026-05-22 09:00:00,42.8,11,13.6,0.0
2026-05-22 10:00:00,42.6,12,14.5,0.0
2026-05-22 11:00:00,42.0,12,14.8,0.0
2026-05-22 12:00:00,41.2,13,14.1,0.0
2026-05-22 13:00:00,40.3,14,13.0,0.0
2026-05-22 14:00:00,39.3,15,8.8,0.0
2026-05-22 15:00:00,38.0,16,6.4,0.0
2026-05-22 16:00:00,37.1,18,7.3,0.0
2026-05-22 17:00:00,36.3,19,7.9,0.0
2026-05-22 18:00:00,35.6,22,6.9,0.0
2026-05-22 19:00:00,34.7,24,5.2,0.0
2026-05-22 20:00:00,33.8,26,4.8,0.0
2026-05-22 21:00:00,32.9,28,4.8,0.0
2026-05-22 22:00:00,31.9,30,5.2,0.0
2026-05-22 23:00:00,30.8,33,7.1,0.0
2026-05-23 00:00:00,29.8,35,7.2,0.0
2026-05-23 01:00:00,30.0,36,7.8,0.0
2026-05-23 02:00:00,31.7,33,7.3,0.0
2026-05-23 03:00:00,34.5,28,9.0,0.0
2026-05-23 04:00:00,37.0,24,11.6,0.0
2026-05-23 05:00:00,39.0,21,12.4,0.0
2026-05-23 06:00:00,40.5,18,14.3,0.0
2026-05-23 07:00:00,41.0,17,16.7,0.0
2026-05-23 08:00:00,41.3,17,15.4,0.0
2026-05-23 09:00:00,41.7,16,17.2,0.0
2026-05-23 10:00:00,41.3,17,18.3,0.0
2026-05-23 11:00:00,41.1,16,16.8,0.0
2026-05-23 12:00:00,40.8,16,16.9,0.0
2026-05-23 13:00:00,40.0,16,16.5,0.0
2026-05-23 14:00:00,39.0,17,10.5,0.0
2026-05-23 15:00:00,38.6,17,19.4,0.0
2026-05-23 16:00:00,37.5,20,12.3,0.0
2026-05-23 17:00:00,36.3,22,11.1,0.0
2026-05-23 18:00:00,34.9,24,7.3,0.0
2026-05-23 19:00:00,33.9,25,6.6,0.0
2026-05-23 20:00:00,33.0,26,7.5,0.0
