time,temperature_2m,relative_humidity_2m,windspeed_10m,precipitation
2026-05-21T00:00,32.5,32,11.4,0.0
2026-05-21T01:00,32.8,33,11.9,0.0
2026-05-21T02:00,33.8,33,11.7,0.0
2026-05-21T03:00,35.5,29,15.5,0.0
2026-05-21T04:00,37.4,25,17.4,0.0
2026-05-21T05:00,39.1,22,16.8,0.0
2026-05-21T06:00,40.5,20,15.9,0.0
2026-05-21T07:00,41.6,19,14.9,0.0
2026-05-21T08:00,42.5,17,13.3,0.0
2026-05-21T09:00,43.0,15,12.1,0.0
2026-05-21T10:00,42.9,15,11.4,0.0
2026-05-21T11:00,42.5,15,12.5,0.0
2026-05-21T12:00,41.8,15,13.6,0.0
2026-05-21T13:00,41.2,16,12.9,0.0
2026-05-21T14:00,40.0,17,9.2,0.0
2026-05-21T15:00,38.4,20,7.3,0.0
2026-05-21T16:00,37.3,21,9.3,0.0
2026-05-21T17:00,36.0,22,12.2,0.0
2026-05-21T18:00,35.2,23,14.5,0.0
2026-05-21T19:00,34.8,21,13.4,0.0
2026-05-21T20:00,34.1,20,12.8,0.0
2026-05-21T21:00,33.0,19,10.7,0.0
2026-05-21T22:00,32.3,19,10.6,0.0
2026-05-21T23:00,31.6,20,9.9,0.0
2026-05-22T00:00,31.0,21,9.7,0.0
2026-05-22T01:00,31.1,22,10.1,0.0
2026-05-22T02:00,32.6,21,8.6,0.0
2026-05-22T03:00,34.9,19,11.2,0.0
2026-05-22T04:00,37.0,18,12.1,0.0
2026-05-22T05:00,39.3,16,11.9,0.0
2026-05-22T06:00,41.2,15,11.0,0.0
2026-05-22T07:00,42.5,13,11.6,0.0
2026-05-22T08:00,43.0,12,11.7,0.0
2026-05-22T09:00,43.0,12,13.1,0.0
2026-05-22T10:00,42.7,12,14.4,0.0
2026-05-22T11:00,42.1,12,14.3,0.0
2026-05-22T12:00,41.3,13,13.8,0.0
2026-05-22T13:00,40.3,14,14.2,0.0
2026-05-22T14:00,39.2,15,8.1,0.0
2026-05-22T15:00,38.0,17,6.0,0.0
2026-05-22T16:00,37.3,18,10.0,0.0
2026-05-22T17:00,36.8,21,10.3,0.0
2026-05-22T18:00,35.3,24,6.5,0.0
2026-05-22T19:00,34.2,27,4.5,0.0
2026-05-22T20:00,33.6,29,3.9,0.0
2026-05-22T21:00,33.0,30,4.1,0.0
2026-05-22T22:00,32.2,31,5.2,0.0
2026-05-22T23:00,31.1,34,5.5,0.0
2026-05-23T00:00,30.1,37,7.3,0.0
2026-05-23T01:00,30.5,36,7.6,0.0
2026-05-23T02:00,32.2,33,7.0,0.0
2026-05-23T03:00,35.2,28,8.3,0.0
2026-05-23T04:00,37.9,23,10.6,0.0
2026-05-23T05:00,39.8,20,11.6,0.0
